Assignment - 12 % python3 Decoder_only_GPT2_style_transformer.py
using device: mps
Total Parameters: 124,439,808
Trainable Parameters: 124,439,808
Model Size: 474.70 MB

Size by component:
transformer: 474.70 MB
loaded 338025 tokens
1 epoch = 165 batches
Training for 20000 steps
step 0, loss: 10.9502, avg_loss: 10.9502, best_loss: 10.9502, lr: 2.00e-05, time/batch: 0.000s
step 100, loss: 7.3906, avg_loss: 8.3566, best_loss: 7.3123, lr: 2.11e-05, time/batch: 0.253s
step 200, loss: 6.1753, avg_loss: 6.8555, best_loss: 6.1532, lr: 2.45e-05, time/batch: 0.270s
step 300, loss: 5.9569, avg_loss: 6.2094, best_loss: 5.6177, lr: 2.99e-05, time/batch: 0.284s
step 400, loss: 5.5256, avg_loss: 5.8287, best_loss: 5.3965, lr: 3.73e-05, time/batch: 0.285s
step 500, loss: 5.7069, avg_loss: 5.6113, best_loss: 4.8180, lr: 4.65e-05, time/batch: 0.284s
step 600, loss: 5.5649, avg_loss: 5.3132, best_loss: 4.6987, lr: 5.72e-05, time/batch: 0.390s
step 700, loss: 5.1711, avg_loss: 5.1089, best_loss: 4.2885, lr: 6.93e-05, time/batch: 0.680s
step 800, loss: 4.3251, avg_loss: 4.9638, best_loss: 4.2482, lr: 8.24e-05, time/batch: 0.492s
step 900, loss: 5.0213, avg_loss: 4.7389, best_loss: 3.9379, lr: 9.61e-05, time/batch: 0.436s
step 1000, loss: 4.3302, avg_loss: 4.6289, best_loss: 3.6702, lr: 1.10e-04, time/batch: 0.418s
step 1100, loss: 4.6830, avg_loss: 4.4508, best_loss: 3.6702, lr: 1.24e-04, time/batch: 0.396s
step 1200, loss: 4.3765, avg_loss: 4.3032, best_loss: 3.4492, lr: 1.38e-04, time/batch: 0.387s
step 1300, loss: 4.2446, avg_loss: 4.2775, best_loss: 3.4492, lr: 1.51e-04, time/batch: 0.386s
step 1400, loss: 3.8800, avg_loss: 4.0641, best_loss: 3.2410, lr: 1.63e-04, time/batch: 0.401s
step 1500, loss: 3.7004, avg_loss: 3.9946, best_loss: 3.0554, lr: 1.74e-04, time/batch: 0.392s
step 1600, loss: 4.2758, avg_loss: 3.9018, best_loss: 3.0554, lr: 1.83e-04, time/batch: 0.392s
step 1700, loss: 3.8317, avg_loss: 3.7076, best_loss: 2.8623, lr: 1.90e-04, time/batch: 0.399s
step 1800, loss: 3.4979, avg_loss: 3.6547, best_loss: 2.8623, lr: 1.96e-04, time/batch: 0.399s
step 1900, loss: 3.3440, avg_loss: 3.4729, best_loss: 2.6924, lr: 1.99e-04, time/batch: 0.399s
step 2000, loss: 3.3396, avg_loss: 3.3584, best_loss: 2.5123, lr: 2.00e-04, time/batch: 0.400s
step 2100, loss: 3.4327, avg_loss: 3.2191, best_loss: 2.5123, lr: 2.00e-04, time/batch: 0.401s
step 2200, loss: 3.1999, avg_loss: 3.0309, best_loss: 2.3588, lr: 2.00e-04, time/batch: 0.406s
step 2300, loss: 2.5306, avg_loss: 2.8855, best_loss: 2.3542, lr: 2.00e-04, time/batch: 0.371s
